Latitude,Longitude,Ampli I,Ampli I generic,delta_log_pga,ampli_pga
46.067,7.1675,-0.31,0.16,0.062015504,1.153494436
46.081,7.195,-0.31,0.16,0.062015504,1.153494436
46.11,6.59,-0.31,0.16,0.062015504,1.153494436
46.11,6.6725,-0.31,0.16,0.062015504,1.153494436
46.125,6.5625,-0.31,0.16,0.062015504,1.153494436
46.125,6.755,-0.31,0.16,0.062015504,1.153494436
46.139,6.59,-0.31,0.16,0.062015504,1.153494436
46.139,6.7,-0.31,0.16,0.062015504,1.153494436
46.139,6.7825,-0.31,0.16,0.062015504,1.153494436
46.154,6.535,-0.31,0.16,0.062015504,1.153494436
46.154,6.59,-0.31,0.16,0.062015504,1.153494436
46.154,6.6725,-0.31,0.16,0.062015504,1.153494436
46.154,6.81,-0.31,0.16,0.062015504,1.153494436
46.154,6.8375,-0.31,0.16,0.062015504,1.153494436
46.154,7.2225,-0.31,0.16,0.062015504,1.153494436
46.154,8.2675,-0.31,0.16,0.062015504,1.153494436
46.169,6.5075,-0.31,0.16,0.062015504,1.153494436
46.169,6.535,-0.31,0.16,0.062015504,1.153494436
46.169,6.6175,-0.31,0.16,0.062015504,1.153494436
46.169,6.7,-0.31,0.16,0.062015504,1.153494436
46.169,6.865,-0.31,0.16,0.062015504,1.153494436
46.169,6.8925,-0.31,0.16,0.062015504,1.153494436
46.169,6.92,-0.31,0.16,0.062015504,1.153494436
46.169,6.975,-0.31,0.16,0.062015504,1.153494436
46.183,6.37,-0.31,0.16,0.062015504,1.153494436
46.183,6.5075,-0.31,0.16,0.062015504,1.153494436
46.183,6.535,-0.31,0.16,0.062015504,1.153494436
46.183,6.645,-0.31,0.16,0.062015504,1.153494436
46.183,6.865,-0.31,0.16,0.062015504,1.153494436
46.183,6.92,-0.31,0.16,0.062015504,1.153494436
46.183,6.9475,-0.31,0.16,0.062015504,1.153494436
46.183,6.975,-0.31,0.16,0.062015504,1.153494436
46.197,6.37,-0.31,0.16,0.062015504,1.153494436
46.197,6.535,-0.31,0.16,0.062015504,1.153494436
46.197,6.5625,-0.31,0.16,0.062015504,1.153494436
46.197,6.59,-0.31,0.16,0.062015504,1.153494436
46.197,6.7275,-0.31,0.16,0.062015504,1.153494436
46.197,6.865,-0.31,0.16,0.062015504,1.153494436
46.197,6.92,-0.31,0.16,0.062015504,1.153494436
46.197,6.975,-0.31,0.16,0.062015504,1.153494436
46.212,6.59,-0.31,0.16,0.062015504,1.153494436
46.212,6.6175,-0.31,0.16,0.062015504,1.153494436
46.212,6.8925,-0.31,0.16,0.062015504,1.153494436
46.212,6.92,-0.31,0.16,0.062015504,1.153494436
46.212,6.9475,-0.31,0.16,0.062015504,1.153494436
46.212,6.975,-0.31,0.16,0.062015504,1.153494436
46.227,6.3425,-0.31,0.16,0.062015504,1.153494436
46.227,6.3975,-0.31,0.16,0.062015504,1.153494436
46.227,6.59,-0.31,0.16,0.062015504,1.153494436
46.227,6.6175,-0.31,0.16,0.062015504,1.153494436
46.227,6.645,-0.31,0.16,0.062015504,1.153494436
46.227,6.975,-0.31,0.16,0.062015504,1.153494436
46.227,7.0575,-0.31,0.16,0.062015504,1.153494436
46.227,7.085,-0.31,0.16,0.062015504,1.153494436
46.241,6.3975,-0.31,0.16,0.062015504,1.153494436
46.241,6.6175,-0.31,0.16,0.062015504,1.153494436
