NP 1798 HNZ  -- 37.376015 -121.843740
NP 1799 HNZ  -- 37.271133 -121.986240
NC JCH HNZ  -- 37.517036 -122.377300
NC JELB HNZ  -- 36.927448 -121.827640
NC JSB HNZ  -- 37.674332 -122.398550
NC CDOB HNZ  -- 37.729401 -121.833460
NC CMOB HNZ  -- 37.810417 -121.802720
NC CRH HNZ  -- 37.858841 -121.992640
NC CRPB HNZ  -- 37.912331 -121.907160
NC KBO HNZ  -- 42.212357 -124.225980
NC KBO HHZ  -- 42.212357 -124.225980
NC LMC HNZ  -- 41.274158 -122.121970
NC LMC HHZ  -- 41.274158 -122.121970
NC MDPB HNZ  -- 37.632267 -119.079350
NC CVL HNZ  -- 37.623592 -121.836410
NC AFD HNZ  -- 38.945961 -120.968970
NC AFD HHZ  -- 38.945961 -120.968970
NC CPI HNZ  -- 37.988903 -122.215610
NC JBNB HNZ  -- 37.123245 -122.156720
NC KMR HNZ  -- 40.202175 -123.708630
NC KMR HHZ  -- 40.202175 -123.708630
NC NHS HNZ  -- 38.656517 -122.614420
NC NLH HNZ  -- 38.122814 -122.149220
NC JBMB HNZ  -- 37.318607 -122.153150
NC JBR HNZ  -- 37.172169 -122.011210
NC MDPB HHZ  -- 37.632267 -119.079350
NC MDY HNZ  -- 37.658039 -119.012150
NC MDY HHZ  -- 37.658039 -119.012150
NC NSM HNZ  -- 38.348785 -122.577950
NC NSP HNZ  -- 38.200253 -122.464400
NC PHOB HNZ  -- 35.866611 -120.479610
NC GAXB HNZ  -- 38.710732 -122.757330
NC JHU HNZ  -- 37.214272 -122.171680
NC JPC HNZ  -- 37.270802 -122.212760
NC JPR HNZ  -- 37.795269 -122.474950
NC JPSB HNZ  -- 37.198551 -122.346710
NC JSA HNZ  -- 37.582249 -122.420060
NC HTU HNZ  -- 36.827202 -121.642880
NC GCVB HNZ  -- 38.769268 -123.014870
NC BBGB HNZ  -- 36.578484 -121.039570
NC BBGB HHZ  -- 36.578484 -121.039570
NC BJOB HNZ  -- 36.610867 -121.314670
NC JFP HNZ  -- 37.360447 -122.189860
NC JSFB HNZ  -- 37.403721 -122.175960
NC KRP HNZ  -- 41.157654 -124.023300
NC KRP HHZ  -- 41.157654 -124.023300
NC MCB HNZ  -- 37.644394 -118.896840
NC MCB HHZ  -- 37.644394 -118.896840
NC JECB HNZ  -- 37.049225 -121.807240
NC CCOB HNZ  -- 37.258984 -121.673120
NC JGR HNZ  -- 37.516041 -122.458150
NC NBRB HNZ  -- 38.260208 -122.551790
NC NHC HNZ  -- 38.217480 -122.357670
NC CHR HNZ  -- 37.372883 -121.768870
NC MCY HNZ  -- 37.643028 -119.028170
NC CYB HNZ  -- 37.807873 -122.361800
NC NOLB HNZ  -- 38.042480 -122.796840
NC PAGB HHZ  -- 35.730652 -120.249860
NC CLCB HNZ  -- 37.737865 -122.064870
NC JSP HNZ  -- 37.586441 -122.502170
NC MINS HNZ  -- 37.653770 -119.060930
NC MINS HHZ  -- 37.653770 -119.060930
NC MLI HNZ  -- 37.636761 -119.017910
NC MLI HHZ  -- 37.636761 -119.017910
NC PAGB HNZ  -- 35.730652 -120.249860
NC JUM HNZ  -- 37.160671 -121.898990
NC KCT HNZ  -- 40.475567 -124.337490
NC KCT HHZ  -- 40.475567 -124.337490
NC JBG HNZ  -- 37.343048 -122.339760
NC CTA HNZ  -- 38.026909 -122.015990
NC NTR HNZ  -- 38.240391 -122.798420
NC NTYB HNZ  -- 38.389210 -122.662970
NC CBR HNZ  -- 37.816471 -122.063020
NC KEB HNZ  -- 42.872211 -124.334250
NC KEB HHZ  -- 42.872211 -124.334250
NC CNI HNZ  -- 37.607948 -121.964560
NC GDXB HNZ  -- 38.807968 -122.795300
NC GDXB HHZ  -- 38.807968 -122.795300
NC JSGB HNZ  -- 37.283970 -122.050170
NC CPM HNZ  -- 37.949062 -122.408510
NC CADB HNZ  -- 37.163460 -121.626450
NC MMLB HHZ  -- 37.659092 -118.979070
NC KCPB HNZ  -- 39.686310 -123.582420
NC KCPB HHZ  -- 39.686310 -123.582420
NC KHBB HNZ  -- 40.659901 -123.219660
NC KHBB HHZ  -- 40.659901 -123.219660
NC KHMB HNZ  -- 40.874832 -123.732500
NC KHMB HHZ  -- 40.874832 -123.732500
NC CAG HNZ  -- 37.857269 -122.422660
NC CAL HNZ  -- 37.450348 -121.800370
NC JJO HNZ  -- 37.206310 -121.977260
NC JMGB HNZ  -- 37.637192 -122.474820
NC KMPB HNZ  -- 40.417194 -124.120760
NC KMPB HHZ  -- 40.417194 -124.120760
NC JLAB HNZ  -- 37.154320 -121.734670
NC KRMB HNZ  -- 41.522957 -123.907970
NC KRMB HHZ  -- 41.522957 -123.907970
NC KSXB HNZ  -- 41.830379 -123.876880
NC KSXB HHZ  -- 41.830379 -123.876880
NC MQ1P HNZ  -- 37.612782 -119.021310
NC CBP HNZ  -- 37.747665 -121.708430
NC NAPC HNZ  -- 38.439507 -122.252720
NC NCC HNZ  -- 38.001984 -122.474670
NC NEA HNZ  -- 38.309883 -122.943000
NC NFV HNZ  -- 38.467690 -122.896510
NC NGVB HNZ  -- 38.280430 -122.215820
NC NHM HNZ  -- 38.154861 -121.804380
NC NHV HNZ  -- 38.164879 -122.712960
NC NBO HNZ  -- 37.921440 -122.718060
NC NHF HNZ  -- 38.049622 -122.523320
NC NEH HNZ  -- 38.336559 -122.810820
NC NMI HNZ  -- 38.076012 -122.258500
NC CSL HNZ  -- 37.724159 -122.119290
NC HMOB HNZ  -- 36.599346 -121.918140
NC NPRB HNZ  -- 37.996422 -123.019490
NC NTAC HNZ  -- 37.923717 -122.596480
NC NTO HNZ  -- 38.143608 -122.449690
BK FARB HNZ  -- 37.697820 -123.001100
BK FARB HHZ  -- 37.697820 -123.001100
BK BRIB HHZ  -- 37.918810 -122.151760
BK PACP HNZ  -- 37.008000 -121.287000
BK PACP HHZ  -- 37.008000 -121.287000
BK HATC HHZ  -- 40.816100 -121.461170
BK HAST HNZ  -- 36.388700 -121.551400
BK HAST HHZ  -- 36.388700 -121.551400
BK BRK HNZ  -- 37.873520 -122.260990
BK RAMR HNZ  -- 35.635970 -120.869840
BK RAMR HHZ  -- 35.635970 -120.869840
BK HELL HHZ  -- 36.680110 -119.022820
BK HELL HNZ  -- 36.680110 -119.022820
BK KCC HNZ  -- 37.323630 -119.318700
BK SUTB HNZ  -- 39.229100 -121.786100
BK SUTB HHZ  -- 39.229100 -121.786100
BK MNRC HNZ  -- 38.878740 -122.442770
BK MOD HHZ  -- 41.902460 -120.302950
BK MOD HNZ  -- 41.902460 -120.302950
BK PKD HHZ  -- 35.945170 -120.541600
BK PKD HNZ  -- 35.945170 -120.541600
BK RFSB HNZ  -- 37.916080 -122.336070
BK MNRC HHZ  -- 38.878740 -122.442770
BK VAK HNZ  -- 37.877526 -122.248890
BK VAK HHZ  -- 37.877526 -122.248890
BK MCCM HHZ  -- 38.144780 -122.880180
BK MCCM HNZ  -- 38.144780 -122.880180
BK HUMO HHZ  -- 42.607100 -122.956690
BK HUMO HNZ  -- 42.607100 -122.956690
BK BRIB HNZ  -- 37.918870 -122.151790
BK BKS HHZ  -- 37.876220 -122.235580
BK BL67 HHZ  -- 37.874920 -122.243180
BK WDC HNZ  -- 40.579880 -122.541130
BK WDC HHZ  -- 40.579880 -122.541130
BK YBH HNZ  -- 41.732040 -122.710390
BK GASB HHZ  -- 39.654710 -122.715950
BK GASB HNZ  -- 39.654710 -122.715950
BK BRK HHZ  -- 37.873520 -122.260990
BK YBH HHZ  -- 41.731930 -122.710380
