#NET STA   CHA LOC    LAT      LON       ELEV ONDATE     OFFDATE 
CE  13610 HNZ  --  33.62300 -117.93100     4 2004/05/26 2006/02/02
CE  13726 HNZ  --  33.85560 -117.54040   240 1996/02/07 3000/01/01
CE  13849 HNZ  --  33.85340 -117.81800    78 2003/01/08 3000/01/01
CE  13873 HNZ  --  33.93310 -117.89630   116 2003/01/07 3000/01/01
CE  13875 HNZ  --  33.77740 -117.83350    66 2002/01/08 3000/01/01
CE  13876 HNZ  --  33.60400 -117.90500     2 2003/01/09 2009/01/08
CE  13876 HNZ  --  33.60430 -117.90590     2 2009/01/08 3000/01/01
CE  13877 HNZ  --  33.60540 -117.88960     1 2003/01/29 3000/01/01
CE  13878 HNZ  --  33.88910 -117.88700    79 2003/01/07 3000/01/01
CE  13879 HNZ  --  33.86630 -117.95910    34 2003/01/30 3000/01/01
CE  13880 HNZ  --  33.90860 -117.93110    98 2003/01/28 3000/01/01
CE  13881 HNZ  --  33.93150 -117.95570    86 1999/09/14 3000/01/01
CE  13882 HNZ  --  33.92740 -117.80340   226 2003/01/07 2014/11/05
CE  13883 HNZ  --  33.85300 -117.85700    67 2003/01/07 2009/10/27
CE  13883 HNZ  --  33.85340 -117.85780    67 2009/10/27 3000/01/01
CE  13884 HNZ  --  33.76670 -117.91780    28 2003/01/29 3000/01/01
CE  13885 HNZ  --  33.75710 -117.95580    19 2003/01/29 3000/01/01
CE  13886 HNZ  --  33.79110 -117.96800    25 2003/01/29 3000/01/01
CE  13887 HNZ  --  33.67650 -117.96290     3 2003/01/10 3000/01/01
CE  13888 HNZ  --  33.81950 -117.84950    61 2003/01/08 3000/01/01
CE  13889 HNZ  --  33.74780 -117.84390    41 2003/01/08 3000/01/01
CE  13890 HNZ  --  33.74200 -117.89380    23 2003/01/09 3000/01/01
CE  13891 HNZ  --  33.71570 -117.90370    13 2003/01/09 3000/01/01
CE  13892 HNZ  --  33.69970 -117.88010    10 2000/02/29 3000/01/01
CE  13893 HNZ  --  33.78460 -117.89020    39 2005/01/07 3000/01/01
CE  13894 HNZ  --  33.78900 -117.92150    37 2003/01/29 3000/01/01
CE  13913 HNZ  --  33.91880 -117.48770   217 2002/12/02 3000/01/01
CE  13914 HNZ  --  33.95100 -117.38830   256 2000/03/01 3000/01/01
CE  13915 HNZ  --  33.97920 -117.34390   298 2002/12/05 3000/01/01
CE  13916 HNZ  --  33.89450 -117.32190   538 2002/12/04 3000/01/01
CE  13918 HNZ  --  33.90350 -117.56130   191 2002/11/13 3000/01/01
CE  13921 HNZ  --  33.97530 -117.48650   213 2002/12/02 3000/01/01
CE  13922 HNZ  --  33.66890 -117.33200   389 2004/05/10 2006/08/31
CE  13922 HNZ  --  33.66910 -117.33230   389 2006/08/31 3000/01/01
CE  13924 HNZ  --  33.74750 -117.12740   485 2002/12/03 3000/01/01
CE  13925 HNZ  --  33.90190 -117.23550   468 2009/10/22 3000/01/01
CE  13925 HNZ  --  33.90200 -117.23400   468 2002/12/04 2009/10/22
CE  13927 HNZ  --  33.92120 -117.17310   493 2002/12/04 3000/01/01
CE  13928 HNZ  --  33.78670 -117.23050   447 2000/09/06 3000/01/01
CE  13929 HNZ  --  33.64910 -117.20530   480 2002/12/03 3000/01/01
CE  13930 HNZ  --  33.71550 -117.19150   435 2005/09/22 3000/01/01
CE  13930 HNZ  --  33.71600 -117.19000   435 2002/12/03 2005/09/21
CE  14001 HNZ  --  33.80200 -118.21500     5 2003/03/05 2006/10/19
CE  14001 HNZ  --  33.80220 -118.21480     5 2006/10/19 3000/01/01
CE  14002 HNZ  --  33.78470 -118.17340     8 2003/03/06 3000/01/01
